episode,reward,waiting_time,resource_util
1,-2282,54.534,90.04
2,-2009,54.534,88.72
3,-1796,54.534,88.76
4,-1807,54.534,87.68
5,-1744,54.534,83.88
6,-2170,54.534,89.56
7,-1746,54.534,83.44
8,-1459,54.534,82.4
9,-1716,54.534,87.92
10,-1689,54.534,87.52
11,-1974,54.534,89.92
12,-1599,54.534,88.44
13,-1848,54.534,85.8
14,-1746,54.534,86.84
15,-1519,54.534,85.88
16,-1575,54.534,85.2
17,-1853,54.534,86.4
18,-1722,54.534,90.16
19,-2063,54.534,87.36
20,-1882,54.534,91.8
21,-2319,54.534,90.76
22,-1071,54.534,84.64
23,-1892,54.534,88.4
24,-1782,54.534,86.96
25,-1706,54.534,90.84
26,-1899,54.534,88.8
27,-1752,54.534,87.44
28,-1458,54.534,86.12
29,-1850,54.534,88.2
30,-1579,54.534,86.28
31,-1744,54.534,88.48
32,-1307,54.534,86.52
33,-1757,54.534,87.0
34,-1625,54.534,87.28
35,-1381,54.534,84.08
36,-1135,54.534,86.28
37,-961,54.534,79.4
38,-1614,54.534,89.44
39,-1152,54.534,82.96
40,-1299,54.534,85.96
41,-1536,54.534,84.2
42,-996,54.534,81.2
43,-1516,54.534,83.68
44,-1405,54.534,85.28
45,-1212,54.534,81.8
46,-1348,54.534,88.16
47,-1246,54.534,83.72
48,-1050,54.534,84.44
49,-897,54.534,79.8
50,-1429,54.534,86.56
51,-969,54.534,85.24
52,-1445,54.534,84.32
53,-1354,54.534,88.6
54,-991,54.534,83.12
55,-1262,54.534,82.92
56,-1138,54.534,81.4
57,-1006,54.534,82.64
58,-1196,54.534,88.04
59,-1257,54.534,84.36
60,-1729,54.534,88.48
61,-743,54.534,79.76
62,-1547,54.534,89.16
63,-1466,54.534,86.04
64,-1055,54.534,80.76
65,-868,54.534,82.08
66,-1286,54.534,84.2
67,-555,54.534,79.12
68,-1116,54.534,80.52
69,-952,54.534,78.52
70,-1601,54.534,83.16
71,-910,54.534,81.68
72,-1040,54.534,85.72
73,-1226,54.534,87.92
74,-1106,54.534,88.4
75,-1056,54.534,83.36
76,-1218,54.534,84.52
77,-1142,54.534,84.16
78,-1112,54.534,84.6
79,-1295,54.534,85.04
80,-1150,54.534,83.88
81,-965,54.534,85.6
82,-1274,54.534,87.96
83,-1482,54.534,86.2
84,-1050,54.534,85.48
85,-1133,54.534,85.2
86,-866,54.534,83.08
87,-1272,54.534,85.28
88,-931,54.534,80.2
89,-1094,54.534,86.76
90,-445,54.534,76.32
91,-827,54.534,78.24
92,-1473,54.534,88.68
93,-1093,54.534,86.68
94,-1077,54.534,82.04
95,-575,54.534,80.04
96,-379,54.534,82.68
97,-894,54.534,82.84
98,-652,54.534,84.28
99,-644,54.534,82.04
100,-1580,54.534,87.28
101,-814,54.534,80.88
102,-672,54.534,81.8
103,-453,54.534,75.72
104,-978,54.534,83.56
105,-832,54.534,78.76
106,-948,54.534,84.84
107,-1129,54.534,85.64
108,-1264,54.534,85.8
109,-1022,54.534,85.44
110,-818,54.534,81.0
111,-1003,54.534,88.16
112,-774,54.534,82.44
113,-721,54.534,80.52
114,-895,54.534,83.52
115,-646,54.534,80.32
116,-759,54.534,82.52
117,-781,54.534,78.8
118,-635,54.534,75.56
119,-994,54.534,84.32
120,-487,54.534,79.52
121,-445,54.534,77.32
122,-835,54.534,83.24
123,-205,54.534,76.44
124,-450,54.534,78.52
125,-908,54.534,84.44
126,-498,54.534,76.12
127,-891,54.534,82.56
128,-930,54.534,80.72
129,-333,54.534,78.56
130,-699,54.534,81.12
131,-697,54.534,82.28
132,-676,54.534,80.32
133,-619,54.534,79.8
134,-749,54.534,82.72
135,-998,54.534,82.48
136,-867,54.534,82.12
137,-554,54.534,80.28
138,-703,54.534,82.08
139,-569,54.534,79.52
140,-802,54.534,81.36
141,-586,54.534,79.52
142,-488,54.534,80.64
143,-906,54.534,81.4
144,-10,54.534,74.08
145,-621,54.534,79.2
146,-390,54.534,77.04
147,-831,54.534,86.24
148,-652,54.534,80.72
149,-970,54.534,83.96
150,-714,54.534,84.0
151,-298,54.534,81.04
152,-486,54.534,83.04
153,-537,54.534,81.16
154,-458,54.534,78.4
155,-772,54.534,82.12
156,-309,54.534,74.52
157,-379,54.534,76.36
158,-31,54.534,73.96
159,-561,54.534,72.64
160,-628,54.534,83.96
161,-338,54.534,82.44
162,-307,54.534,82.28
163,-549,54.534,79.68
164,-675,54.534,82.4
165,-618,54.534,78.96
166,-608,54.534,84.36
167,-549,54.534,80.52
168,-384,54.534,74.08
169,-756,54.534,84.12
170,-420,54.534,80.96
171,-691,54.534,81.32
172,-530,54.534,81.88
173,-648,54.534,76.04
174,-640,54.534,78.96
175,-634,54.534,78.72
176,-642,54.534,78.56
177,-435,54.534,78.48
178,-247,54.534,71.04
179,-616,54.534,77.2
180,-451,54.534,79.4
181,-770,54.534,80.92
182,-744,54.534,81.0
183,-358,54.534,76.44
184,-247,54.534,75.48
185,-601,54.534,82.36
186,-524,54.534,80.36
187,-184,54.534,80.24
188,-295,54.534,77.8
189,-682,54.534,80.56
190,-661,54.534,79.32
191,-458,54.534,84.8
192,-574,54.534,82.28
193,-464,54.534,77.4
194,-215,54.534,78.84
195,-525,54.534,77.4
196,-278,54.534,72.48
197,-702,54.534,78.04
198,-464,54.534,79.28
199,-354,54.534,77.08
200,-403,54.534,84.6
