episode,reward,waiting_time,resource_util
1,-2096,54.534,87.72
2,-2123,54.534,91.16
3,-1555,54.534,81.24
4,-1928,54.534,88.56
5,-1474,54.534,88.32
6,-1870,54.534,88.56
7,-1850,54.534,85.44
8,-1859,54.534,89.56
9,-1615,54.534,88.04
10,-1818,54.534,81.0
11,-1576,54.534,88.32
12,-1781,54.534,86.32
13,-2057,54.534,89.12
14,-1538,54.534,87.2
15,-1542,54.534,84.4
16,-1234,54.534,80.84
17,-2051,54.534,89.32
18,-1817,54.534,90.92
19,-2143,54.534,88.16
20,-1741,54.534,90.12
21,-2193,54.534,90.24
22,-1287,54.534,81.08
23,-1899,54.534,90.44
24,-1576,54.534,88.0
25,-1677,54.534,87.16
26,-1421,54.534,84.0
27,-1987,54.534,90.56
28,-1152,54.534,86.44
29,-1715,54.534,89.92
30,-1648,54.534,88.64
31,-1679,54.534,87.96
32,-1507,54.534,86.52
33,-1808,54.534,92.6
34,-1543,54.534,87.84
35,-1516,54.534,83.72
36,-1485,54.534,85.44
37,-1762,54.534,87.4
38,-1593,54.534,87.88
39,-1344,54.534,82.28
40,-776,54.534,85.32
41,-1766,54.534,86.36
42,-1702,54.534,85.64
43,-1343,54.534,84.88
44,-1111,54.534,86.48
45,-1200,54.534,79.48
46,-1462,54.534,83.88
47,-1461,54.534,87.28
48,-1200,54.534,82.64
49,-1169,54.534,82.72
50,-1486,54.534,84.2
51,-918,54.534,82.88
52,-1463,54.534,88.24
53,-1319,54.534,85.32
54,-1044,54.534,82.72
55,-1395,54.534,85.72
56,-1024,54.534,85.0
57,-1068,54.534,82.8
58,-1443,54.534,83.48
59,-1138,54.534,84.44
60,-1610,54.534,83.48
61,-1321,54.534,80.84
62,-1449,54.534,89.76
63,-1500,54.534,87.4
64,-1151,54.534,78.96
65,-1153,54.534,85.6
66,-973,54.534,76.84
67,-893,54.534,84.84
68,-1222,54.534,87.2
69,-1253,54.534,82.96
70,-1140,54.534,79.68
71,-1069,54.534,85.48
72,-977,54.534,85.16
73,-977,54.534,83.64
74,-1193,54.534,88.36
75,-1061,54.534,84.16
76,-961,54.534,86.48
77,-1032,54.534,85.0
78,-776,54.534,79.12
79,-949,54.534,83.92
80,-1298,54.534,86.64
81,-1284,54.534,84.24
82,-1319,54.534,88.08
83,-1094,54.534,86.56
84,-1232,54.534,85.44
85,-1160,54.534,83.24
86,-658,54.534,82.16
87,-815,54.534,73.64
88,-556,54.534,76.92
89,-932,54.534,82.32
90,-218,54.534,74.16
91,-333,54.534,79.4
92,-1138,54.534,85.48
93,-1227,54.534,84.8
94,-674,54.534,79.0
95,-901,54.534,80.16
96,-1124,54.534,84.44
97,-800,54.534,80.84
98,-884,54.534,79.24
99,-779,54.534,79.12
100,-972,54.534,87.08
101,-760,54.534,79.68
102,-1046,54.534,82.72
103,-855,54.534,80.76
104,-737,54.534,81.8
105,-1242,54.534,84.68
106,-721,54.534,82.04
107,-1129,54.534,84.6
108,-1259,54.534,88.72
109,-645,54.534,84.92
110,-671,54.534,77.4
111,-1074,54.534,87.08
112,-519,54.534,81.76
113,-559,54.534,78.2
114,-604,54.534,80.96
115,-304,54.534,78.12
116,-667,54.534,79.2
117,-867,54.534,82.64
118,-914,54.534,85.16
119,-602,54.534,78.08
120,-1181,54.534,83.52
121,-523,54.534,78.4
122,-933,54.534,82.4
123,-520,54.534,79.08
124,-785,54.534,78.72
125,-768,54.534,74.8
126,-644,54.534,80.96
127,-820,54.534,83.92
128,-318,54.534,76.24
129,-262,54.534,71.12
130,-725,54.534,79.52
131,-582,54.534,77.64
132,-399,54.534,71.8
133,-1174,54.534,84.2
134,-476,54.534,81.56
135,-734,54.534,77.2
136,-453,54.534,71.84
137,-450,54.534,78.68
138,-765,54.534,82.56
139,-598,54.534,76.68
140,-602,54.534,72.68
141,-595,54.534,81.4
142,-458,54.534,69.08
143,-495,54.534,75.12
144,-194,54.534,75.72
145,-429,54.534,73.2
146,-982,54.534,84.84
147,-587,54.534,82.72
148,-539,54.534,77.0
149,-751,54.534,79.6
150,-584,54.534,79.44
151,-129,54.534,73.72
152,-442,54.534,76.08
153,-814,54.534,77.8
154,-431,54.534,77.52
155,-597,54.534,80.44
156,-746,54.534,75.6
157,-344,54.534,74.6
158,-99,54.534,68.36
159,-817,54.534,80.48
160,-794,54.534,82.16
161,-386,54.534,74.52
162,-415,54.534,78.16
163,-562,54.534,79.76
164,-440,54.534,77.84
165,-900,54.534,82.92
166,-693,54.534,79.56
167,-347,54.534,76.28
168,-493,54.534,78.56
169,-370,54.534,79.32
170,-557,54.534,76.2
171,-542,54.534,78.2
172,-415,54.534,80.56
173,-98,54.534,74.44
174,-399,54.534,77.04
175,-485,54.534,75.12
176,-489,54.534,82.28
177,-509,54.534,78.44
178,-276,54.534,75.44
179,-480,54.534,80.36
180,-828,54.534,82.56
181,-678,54.534,80.72
182,-553,54.534,84.96
183,-358,54.534,68.84
184,-269,54.534,66.8
185,-492,54.534,80.4
186,-444,54.534,77.36
187,-340,54.534,67.92
188,-255,54.534,69.36
189,-733,54.534,79.6
190,-542,54.534,75.76
191,-542,54.534,75.88
192,-672,54.534,81.44
193,-264,54.534,72.88
194,-614,54.534,76.08
195,-184,54.534,75.92
196,-339,54.534,75.92
197,-433,54.534,82.36
198,-171,54.534,68.24
199,-231,54.534,71.28
200,-199,54.534,73.28
