episode,reward,waiting_time,resource_util
1,-2005,54.534,87.32
2,-2065,54.534,89.68
3,-1387,54.534,82.0
4,-2030,54.534,82.96
5,-1461,54.534,86.68
6,-2285,54.534,89.36
7,-1973,54.534,80.32
8,-2002,54.534,87.52
9,-1626,54.534,85.96
10,-1376,54.534,86.0
11,-1656,54.534,84.0
12,-2064,54.534,87.2
13,-1457,54.534,80.88
14,-1518,54.534,86.12
15,-2131,54.534,89.32
16,-1325,54.534,80.12
17,-1762,54.534,86.6
18,-2410,54.534,90.28
19,-1496,54.534,84.28
20,-1179,54.534,81.8
21,-1354,54.534,81.56
22,-1853,54.534,88.68
23,-1897,54.534,88.88
24,-1580,54.534,87.24
25,-2313,54.534,84.64
26,-1559,54.534,87.16
27,-1327,54.534,81.6
28,-1496,54.534,88.0
29,-1645,54.534,84.92
30,-1583,54.534,82.84
31,-1737,54.534,85.32
32,-1317,54.534,82.28
33,-1382,54.534,83.2
34,-1281,54.534,82.44
35,-2114,54.534,88.6
36,-1755,54.534,84.84
37,-1095,54.534,80.52
38,-875,54.534,79.2
39,-1537,54.534,89.12
40,-1698,54.534,81.4
41,-1173,54.534,83.68
42,-1458,54.534,87.44
43,-1258,54.534,83.8
44,-1481,54.534,80.52
45,-1237,54.534,83.92
46,-1114,54.534,82.52
47,-1058,54.534,84.16
48,-1479,54.534,87.88
49,-1606,54.534,88.36
50,-1658,54.534,84.76
51,-1513,54.534,85.44
52,-1280,54.534,84.28
53,-764,54.534,80.44
54,-1491,54.534,86.2
55,-1301,54.534,84.44
56,-1208,54.534,81.92
57,-999,54.534,82.0
58,-1176,54.534,82.16
59,-1226,54.534,78.28
60,-1304,54.534,82.04
61,-1305,54.534,82.76
62,-701,54.534,76.2
63,-1530,54.534,84.96
64,-1334,54.534,85.32
65,-853,54.534,84.44
66,-1701,54.534,84.52
67,-1320,54.534,85.52
68,-1136,54.534,84.24
69,-1384,54.534,83.08
70,-1202,54.534,83.12
71,-1533,54.534,86.92
72,-1303,54.534,85.88
73,-1560,54.534,89.36
74,-944,54.534,81.92
75,-1415,54.534,86.4
76,-1569,54.534,89.08
77,-1316,54.534,89.2
78,-1071,54.534,84.76
79,-929,54.534,85.28
80,-1508,54.534,88.76
81,-1246,54.534,83.96
82,-1341,54.534,84.96
83,-1128,54.534,83.44
84,-1088,54.534,85.24
85,-887,54.534,85.72
86,-843,54.534,79.56
87,-1142,54.534,85.84
88,-1510,54.534,88.96
89,-1072,54.534,86.96
90,-1631,54.534,85.08
91,-637,54.534,80.72
92,-1354,54.534,85.68
93,-1827,54.534,85.08
94,-846,54.534,80.84
95,-1319,54.534,85.6
96,-1185,54.534,88.44
97,-1398,54.534,85.88
98,-966,54.534,85.32
99,-1210,54.534,82.68
100,-1209,54.534,82.88
